Team Name,Member Name,Email,Game,Role,Skill,Personality
Team 1,Participant_8,user8@university.edu,Valorant,Defender,10,Leader
Team 1,Participant_53,user53@university.edu,DOTA 2,Defender,7,Balanced
Team 1,Participant_57,user57@university.edu,CS:GO,Attacker,7,Thinker
Team 1,Participant_90,user90@university.edu,Chess,Coordinator,5,Balanced
Team 1,Participant_98,user98@university.edu,CS:GO,Defender,5,Leader
Team 1,Participant_45,user45@university.edu,Chess,Coordinator,2,Balanced
Team 1,Participant_51,user51@university.edu,FIFA,Strategist,2,Thinker
Team 2,Participant_17,user17@university.edu,CS:GO,Attacker,10,Balanced
Team 2,Participant_42,user42@university.edu,DOTA 2,Attacker,7,Thinker
Team 2,Participant_61,user61@university.edu,CS:GO,Strategist,7,Leader
Team 2,Participant_84,user84@university.edu,FIFA,Supporter,5,Balanced
Team 2,lisa,lisa@l.com,FIFA,Supporter,5,Reserved
Team 2,Participant_43,user43@university.edu,DOTA 2,Defender,2,Leader
Team 2,Participant_52,user52@university.edu,FIFA,Attacker,2,Leader
Team 3,Participant_47,user47@university.edu,DOTA 2,Attacker,10,Balanced
Team 3,Participant_34,user34@university.edu,FIFA,Supporter,7,Leader
Team 3,Participant_65,user65@university.edu,DOTA 2,Coordinator,7,Balanced
Team 3,Participant_79,user79@university.edu,Chess,Supporter,5,Leader
Team 3,kau,kau@g.com,CS:GO,Coordinator,5,Reserved
Team 3,Participant_32,user32@university.edu,DOTA 2,Attacker,2,Leader
Team 3,Participant_77,user77@university.edu,FIFA,Attacker,2,Leader
Team 4,Participant_81,user81@university.edu,FIFA,Strategist,10,Thinker
Team 4,Participant_33,user33@university.edu,FIFA,Defender,7,Balanced
Team 4,Participant_76,user76@university.edu,FIFA,Strategist,7,Leader
Team 4,Participant_72,user72@university.edu,DOTA 2,Attacker,5,Balanced
Team 4,ben,ben@g.com,FIFA,Supporter,5,Reserved
Team 4,Participant_12,user12@university.edu,DOTA 2,Attacker,2,Balanced
Team 4,Participant_94,user94@university.edu,CS:GO,Supporter,2,Leader
Team 5,Participant_82,user82@university.edu,Valorant,Attacker,10,Leader
Team 5,Participant_24,user24@university.edu,DOTA 2,Supporter,7,Balanced
Team 5,Participant_92,user92@university.edu,Basketball,Attacker,7,Balanced
Team 5,Participant_69,user69@university.edu,CS:GO,Supporter,5,Balanced
Team 5,sam,sam@g.com,Basketball,Defender,5,Reserved
Team 5,Participant_6,user6@university.edu,CS:GO,Strategist,2,Thinker
Team 5,Participant_95,user95@university.edu,CS:GO,Coordinator,2,Leader
Team 6,Participant_83,user83@university.edu,DOTA 2,Defender,10,Balanced
Team 6,Participant_96,user96@university.edu,DOTA 2,Strategist,8,Thinker
